Career,analog circuits,assembly,automation,backup,c,c++,calibration,circuit design,cisco,component testing,customer support,diagnostics,digital logic,embedded systems,firewalls,firmware,hardware repair,hardware testing,hardware troubleshooting,industrial control,installation,linux,maintenance,microcontrollers,monitoring,network security,networking,on-site,os,oscilloscope,pcb design,plc,power supplies,routing,rtos,scada,schematics,security,sensor integration,sensors,servers,shell scripting,soldering,switching,tcp/ip,troubleshooting,virtualization
Embedded Systems Engineer,3,1,4,4,1,2,3,4,3,4,4,3,4,3,3,1,3,3,4,3,3,3,3,1,3,4,3,3,4,4,4,4,3,4,2,4,3,3,4,2,3,3,3,3,4,4,3
Control Systems Engineer,3,4,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,1,3,4,4,4,4,4,4,4,4,4,3,1,4,4,3,1,4,4,1,4,4,3,4,3,3,3,3
Network Administrator,3,4,4,3,4,4,3,3,2,4,3,4,4,3,1,4,4,4,4,3,4,3,4,3,1,2,2,4,3,3,4,3,4,2,3,4,3,4,4,4,3,3,4,2,2,3,4
Field Technician,3,3,4,4,4,3,1,4,3,4,4,4,4,4,3,3,4,3,1,3,2,4,1,4,3,4,3,2,3,4,4,4,3,4,4,3,4,3,4,3,4,3,3,3,4,4,4
IT Support / Technician,4,2,4,4,3,3,3,4,3,3,2,1,4,4,3,4,2,3,3,4,3,3,4,3,4,4,3,4,2,3,4,4,3,4,4,4,3,4,4,3,3,4,3,3,3,2,4
Electronics Technician,1,4,4,3,4,4,4,3,4,1,4,4,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,3,4,2,3,4,2,3,4,4,3,3,3,4,3,3,2,3,3,3,3
Hardware Engineer,3,4,3,3,3,3,3,1,4,4,4,4,1,2,4,3,4,1,3,3,3,3,3,2,3,4,3,4,3,4,1,3,3,4,4,4,2,3,3,4,4,3,4,4,4,3,4
Field Technician,3,4,4,3,3,3,1,4,3,3,3,4,3,4,4,4,3,3,2,3,1,4,1,3,3,4,3,2,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,4,3,4,4
Control Systems Engineer,3,3,1,4,3,3,4,4,3,4,4,3,4,3,3,4,3,4,4,1,3,3,4,3,3,3,3,3,4,4,4,1,4,3,3,1,3,4,2,3,3,4,4,4,4,3,3
Hardware Engineer,3,4,4,4,3,4,3,2,3,3,4,3,1,2,4,3,3,2,4,3,4,4,4,1,4,4,3,4,4,4,1,4,4,4,4,4,1,4,4,4,4,3,4,3,4,4,4
Field Technician,3,3,4,3,4,3,1,3,4,3,4,3,3,3,3,4,3,3,2,4,1,4,2,4,4,3,4,2,3,3,4,3,3,3,3,4,3,3,4,3,4,4,3,3,3,3,3
Hardware Engineer,4,3,3,3,3,3,4,2,3,4,4,4,1,2,4,4,4,1,4,4,4,3,4,1,4,4,4,3,4,4,2,3,4,4,4,3,2,3,4,3,4,4,3,3,3,3,4
Control Systems Engineer,4,3,2,3,4,4,4,3,4,3,3,3,3,4,3,3,4,4,4,1,4,3,4,3,4,4,3,3,4,4,4,1,3,3,3,2,4,3,1,4,3,4,3,4,3,3,4
Field Technician,3,4,3,3,3,3,1,3,4,4,4,4,3,4,3,4,4,3,2,4,2,3,1,3,4,4,4,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3
IT Support / Technician,4,1,4,3,4,3,3,3,4,3,2,1,4,3,4,3,1,4,4,4,3,3,3,4,3,3,3,3,1,4,3,3,3,4,4,3,4,4,3,4,3,4,4,3,3,2,4
Field Technician,3,3,4,4,3,3,2,4,3,4,3,4,3,3,3,3,4,4,2,4,2,4,2,4,4,4,4,2,3,4,4,3,4,4,3,4,4,4,4,3,4,4,3,3,4,4,3
Electronics Technician,2,4,4,4,3,3,4,3,4,2,3,4,3,3,4,3,3,4,3,4,4,3,4,4,4,4,4,3,4,1,4,3,2,4,3,3,3,4,4,4,4,4,1,4,3,4,4
Network Administrator,4,4,4,4,3,3,3,3,2,3,3,3,4,3,2,3,3,4,3,3,3,3,3,4,2,2,2,3,3,3,4,4,3,1,3,4,3,3,4,3,3,3,3,2,2,3,3
Embedded Systems Engineer,4,1,3,4,1,1,3,4,3,3,3,4,4,4,4,1,3,3,3,4,4,4,3,2,4,3,4,3,4,4,4,4,3,4,2,4,3,4,3,1,4,3,4,3,3,4,4
Control Systems Engineer,4,3,2,3,4,4,3,3,3,4,3,4,4,4,4,3,4,4,4,2,3,4,4,4,3,4,4,4,4,3,3,1,3,3,4,2,3,3,1,3,3,3,4,3,4,4,3
Systems Administrator,3,4,4,1,3,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,1,3,4,1,3,4,4,3,3,3,3,3,4,3,4,3,1,4,3,1,1,4,3,3,3,2
Systems Administrator,4,3,4,1,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,2,3,4,1,3,3,3,4,4,3,4,4,4,4,4,3,2,4,3,1,1,4,3,4,3,2
Control Systems Engineer,3,3,1,3,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,2,4,3,4,4,4,4,3,4,4,4,3,2,3,4,4,1,4,3,1,3,3,4,3,3,3,4,3
Field Technician,4,4,4,4,4,4,2,3,3,4,4,4,3,3,3,4,4,4,2,3,1,3,1,4,4,4,3,1,3,4,3,3,3,4,3,4,3,4,4,3,3,3,3,3,4,4,3
Embedded Systems Engineer,4,1,4,3,1,2,4,4,4,4,4,4,3,4,3,1,3,4,4,4,4,4,4,2,3,4,4,3,3,3,3,3,4,3,1,4,4,4,4,2,4,3,3,3,4,3,4
Hardware Engineer,4,4,4,3,4,4,3,2,4,3,4,3,2,2,4,3,4,2,3,4,3,3,4,1,4,4,3,3,3,3,1,3,4,4,3,3,1,3,4,3,3,3,4,4,4,3,3
IT Support / Technician,4,2,3,3,3,3,3,3,3,4,2,1,4,4,3,4,1,3,4,4,3,3,4,3,4,3,4,4,1,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,3,1,3
Network Administrator,3,3,4,3,3,3,4,4,2,3,4,4,4,3,2,3,4,3,4,3,4,3,4,3,1,1,2,4,3,4,4,4,4,2,3,4,4,4,3,3,3,4,4,1,2,4,3
Hardware Engineer,3,3,4,4,3,3,4,1,3,4,4,4,2,1,3,4,3,1,3,4,4,4,3,2,3,4,4,4,3,4,2,3,4,3,4,4,2,3,4,3,4,4,4,3,3,4,4
Systems Administrator,3,3,3,1,4,3,4,3,4,3,3,4,4,3,4,3,4,3,4,3,3,2,4,3,1,3,4,3,4,3,4,3,3,3,4,3,4,2,4,3,2,1,3,4,3,4,2
Network Administrator,3,3,3,3,3,3,4,3,1,4,4,3,4,3,2,4,3,4,3,4,3,4,3,4,1,1,1,3,3,4,3,3,4,2,3,4,4,4,3,4,3,3,3,2,1,3,4
Field Technician,4,4,4,3,3,3,2,3,3,4,3,4,4,4,3,4,4,3,1,3,1,3,2,4,4,3,3,2,3,4,4,4,3,3,3,4,3,4,4,3,4,4,4,3,4,3,4
Systems Administrator,4,4,3,1,4,4,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,1,4,4,1,4,4,3,4,3,4,4,3,4,4,3,3,1,3,3,1,2,3,4,4,4,1
Systems Administrator,3,3,3,2,3,3,3,3,4,3,3,3,3,4,3,4,3,4,3,3,4,1,4,3,2,4,3,4,4,4,4,3,3,4,4,4,3,1,4,3,2,1,3,3,3,3,1
Embedded Systems Engineer,3,1,3,4,1,1,4,3,3,3,3,3,4,3,4,1,4,3,3,3,4,4,4,2,4,4,3,3,3,4,4,3,3,4,2,4,4,3,4,1,4,4,3,3,3,4,4
Embedded Systems Engineer,4,1,4,3,2,2,3,4,3,4,3,4,4,4,3,2,3,4,4,4,4,3,4,1,4,3,3,3,4,4,3,3,3,4,2,4,3,4,4,2,3,3,3,3,4,4,3
IT Support / Technician,4,1,3,3,4,4,4,3,4,3,1,1,4,4,4,4,1,4,4,3,4,4,3,3,4,3,4,4,2,3,4,4,3,4,3,3,3,3,3,4,3,3,4,4,3,1,4
IT Support / Technician,3,1,3,4,3,3,4,3,4,3,2,2,3,3,4,3,1,3,4,3,3,4,4,3,3,4,3,4,2,3,3,3,4,3,4,4,4,4,3,3,3,3,4,3,3,1,3
Hardware Engineer,3,3,3,3,3,4,4,1,4,3,3,3,1,1,4,4,4,1,3,3,4,4,3,1,4,3,3,4,3,3,1,3,3,3,4,3,2,3,3,4,4,4,3,3,4,4,3
Field Technician,4,4,4,3,3,3,2,4,4,4,3,3,3,3,3,3,4,4,1,3,1,3,1,3,3,3,3,1,4,3,4,4,4,3,3,3,4,4,3,3,3,3,3,4,3,4,3
Electronics Technician,2,3,4,4,3,3,3,3,3,1,3,4,3,3,3,3,4,3,4,4,3,3,3,4,4,4,3,4,4,2,3,3,1,4,4,4,3,3,3,4,3,4,2,4,3,4,4
Hardware Engineer,3,3,3,4,3,4,4,2,3,4,4,3,2,2,3,3,4,1,4,3,4,4,3,2,4,3,4,3,3,4,1,4,3,3,4,4,2,3,3,3,3,3,4,3,3,4,4
Network Administrator,3,4,4,3,4,4,3,3,2,3,3,4,4,3,1,3,3,4,4,3,4,4,4,3,1,1,2,3,4,4,3,3,4,2,3,4,3,4,4,4,3,4,4,2,1,3,4
Embedded Systems Engineer,4,2,3,4,1,1,3,4,4,4,4,4,4,3,3,1,4,3,3,4,4,3,4,1,4,3,4,3,4,3,3,3,3,4,1,4,4,3,4,1,3,3,3,3,4,4,3
Hardware Engineer,3,3,3,3,4,3,3,2,4,3,3,4,1,1,3,4,4,2,3,4,4,3,3,1,3,3,3,3,4,4,1,3,3,3,4,4,2,4,4,4,3,4,3,3,4,4,4
IT Support / Technician,3,1,4,3,3,4,3,4,3,3,2,2,4,3,3,4,1,3,3,3,3,3,3,4,4,4,4,4,1,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4,3,1,3
IT Support / Technician,4,1,3,3,3,3,4,4,4,3,1,2,3,4,3,4,1,3,3,3,4,4,4,3,4,3,4,3,2,4,4,3,3,4,4,3,3,3,4,3,4,3,4,4,3,2,3
Control Systems Engineer,3,3,1,4,3,3,3,4,4,3,3,4,3,4,4,3,3,4,4,1,4,4,4,4,4,3,4,3,4,4,3,1,4,3,4,1,4,3,1,3,3,3,3,4,3,4,4
Hardware Engineer,4,3,4,3,4,3,4,2,3,4,3,3,2,1,3,4,4,1,3,3,4,3,4,2,3,3,4,4,3,3,2,4,3,4,4,3,2,4,4,4,3,3,3,4,4,3,3
Embedded Systems Engineer,4,2,3,4,1,2,4,3,3,4,4,3,3,3,4,1,3,3,4,4,4,3,3,1,4,3,3,3,3,4,3,3,3,4,1,4,3,4,3,2,3,4,4,3,3,4,4
IT Support / Technician,3,2,3,4,4,3,4,4,4,4,2,1,3,4,3,4,2,3,3,4,3,3,4,4,4,3,3,3,2,3,4,4,3,3,3,3,4,3,3,3,4,4,3,3,4,2,3
Field Technician,3,4,3,3,3,3,1,3,3,4,3,3,4,3,4,3,4,4,2,4,1,3,1,4,3,4,4,2,3,3,4,3,3,4,4,3,3,4,4,4,3,3,4,3,4,3,4
Field Technician,3,3,4,4,3,3,1,3,3,3,4,3,3,3,4,4,3,4,2,4,1,4,1,3,3,3,4,2,3,4,3,4,3,4,4,4,3,4,4,3,4,4,3,4,3,3,4
Hardware Engineer,4,3,3,3,3,3,4,2,3,3,4,4,1,2,4,3,4,2,3,3,3,3,3,2,4,4,3,4,3,4,2,3,3,3,3,4,1,3,4,4,4,3,4,4,3,3,4
Electronics Technician,2,4,3,4,3,4,3,3,4,2,4,4,3,3,3,4,4,4,3,3,4,4,4,4,3,4,4,3,3,2,3,4,1,4,3,4,3,3,4,3,4,3,2,4,4,4,4
Hardware Engineer,3,3,3,4,3,4,4,2,4,3,4,4,2,1,3,4,4,1,3,3,4,4,3,1,3,4,4,3,4,3,2,3,4,4,3,4,2,3,3,4,3,3,4,4,3,3,3
Control Systems Engineer,4,4,1,4,4,4,4,3,4,4,4,4,3,3,3,4,3,3,3,2,4,3,3,3,4,3,4,3,3,4,3,2,4,3,4,2,4,3,2,4,3,3,3,3,4,3,4
Field Technician,3,3,4,4,4,3,1,4,3,3,4,3,3,4,3,4,4,3,2,3,1,4,1,4,4,3,3,2,4,3,3,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4
Electronics Technician,2,4,4,4,3,3,4,3,3,2,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,1,4,4,2,3,3,4,3,3,4,4,4,4,2,4,3,4,3
Control Systems Engineer,4,4,2,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,1,3,3,3,4,3,3,4,3,3,3,4,2,4,3,3,2,4,3,1,4,4,3,4,3,3,4,4
Field Technician,4,4,4,4,4,3,2,3,3,4,3,3,4,4,3,3,4,3,1,4,1,4,1,3,4,3,3,2,3,3,3,4,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3
Electronics Technician,2,3,3,4,4,4,4,3,4,2,4,3,3,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,1,3,3,2,3,4,4,3,3,4,4,3,3,1,3,3,3,3
Electronics Technician,2,3,3,3,3,3,4,4,4,2,4,3,4,4,3,3,4,3,3,3,3,4,4,3,4,3,4,3,4,1,4,3,1,3,3,3,3,4,3,3,4,3,2,4,3,3,3
Hardware Engineer,4,4,3,3,4,3,3,1,4,3,3,3,1,1,3,3,4,2,4,3,3,3,3,1,3,4,4,3,3,3,1,3,3,4,3,4,2,3,3,3,3,4,3,4,4,4,3
Hardware Engineer,3,4,4,3,3,4,3,1,3,4,3,4,1,2,3,4,3,1,4,4,3,3,3,2,4,4,3,3,3,4,1,4,3,3,3,4,1,3,4,3,4,4,4,4,4,4,3
Embedded Systems Engineer,3,2,3,3,1,1,4,3,4,3,4,3,4,3,4,2,3,3,3,4,3,4,4,1,4,3,3,3,4,3,4,4,4,3,1,3,4,3,3,1,3,3,4,4,4,4,4
Control Systems Engineer,4,3,2,4,4,4,4,4,3,3,4,4,3,3,4,4,4,3,3,1,3,3,3,3,3,3,4,3,3,4,4,2,3,4,3,2,3,3,1,4,4,3,3,3,3,4,3
Field Technician,3,3,3,4,4,3,1,3,4,3,4,3,3,4,4,4,4,4,1,4,1,3,1,3,3,4,3,2,4,4,4,4,4,4,3,3,3,3,4,3,3,4,3,4,4,4,4
Control Systems Engineer,3,3,2,3,3,3,4,3,3,3,4,4,4,4,3,4,4,3,3,1,3,4,4,4,3,4,3,3,4,3,3,2,3,4,3,1,4,3,1,4,3,4,4,4,4,3,3
Embedded Systems Engineer,4,2,3,4,2,2,3,4,4,3,3,3,4,4,3,2,4,4,3,3,3,4,4,1,3,4,3,4,3,3,4,3,4,3,1,3,4,3,4,1,3,3,4,3,3,3,4
Network Administrator,3,3,4,4,3,3,3,4,1,4,3,3,4,4,2,3,3,3,4,4,3,4,4,4,1,1,1,3,4,3,4,4,4,2,3,3,3,4,3,4,4,3,3,1,2,4,3
Control Systems Engineer,3,4,2,4,3,4,3,4,3,3,4,3,4,3,4,4,3,4,3,1,4,4,3,4,4,4,3,4,4,3,4,1,4,4,4,2,3,4,2,3,4,4,4,3,3,4,3
IT Support / Technician,4,1,4,3,3,4,3,4,4,3,1,1,4,4,3,3,2,3,4,4,4,3,4,3,4,3,3,3,2,3,3,3,3,4,3,3,4,3,3,3,4,4,3,4,3,1,3
Systems Administrator,4,3,4,2,3,3,4,4,4,4,3,4,3,3,4,4,3,3,4,4,3,2,4,3,2,4,3,3,4,3,3,4,4,3,3,4,3,2,4,4,1,1,4,3,4,4,2
Control Systems Engineer,3,4,2,4,4,4,3,4,4,4,4,3,3,3,3,3,3,4,4,1,4,3,4,3,3,4,3,4,3,3,4,1,4,4,3,2,3,3,2,4,4,3,4,4,3,3,3
Systems Administrator,3,4,4,1,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,2,4,4,2,4,3,4,4,4,3,3,3,4,3,3,4,2,4,4,1,1,4,4,4,3,1
Control Systems Engineer,4,4,1,3,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,1,4,3,4,3,3,3,3,4,3,3,4,2,4,3,3,1,3,4,2,4,4,3,3,3,3,4,4
Hardware Engineer,4,4,3,4,4,3,4,1,3,3,3,3,1,2,3,4,4,1,4,4,4,3,4,2,3,4,4,3,4,3,1,3,4,4,4,4,1,3,4,4,4,4,4,4,4,3,3
Network Administrator,3,3,3,3,4,4,4,3,2,4,4,3,3,4,1,4,3,3,3,4,3,3,4,4,1,1,1,4,3,3,4,4,3,1,4,3,4,3,4,3,4,3,4,1,1,3,3
Control Systems Engineer,4,4,2,3,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,1,4,3,3,4,3,3,3,4,4,4,4,1,3,4,4,2,3,4,1,4,4,3,4,4,3,3,3
Control Systems Engineer,4,3,2,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,4,4,2,4,3,1,3,4,4,3,3,3,4,3
Electronics Technician,2,3,4,3,3,4,4,3,3,1,4,4,4,3,3,4,4,4,4,3,3,3,3,3,4,4,3,3,4,2,4,4,2,3,4,3,3,4,4,4,4,4,1,3,3,4,4
Systems Administrator,3,3,3,2,3,4,4,3,4,4,4,3,3,4,3,4,4,3,4,3,4,2,3,4,2,3,3,4,3,4,4,3,4,3,4,4,3,2,4,3,2,2,3,3,3,3,1
IT Support / Technician,4,2,4,3,4,3,4,3,3,4,1,1,4,4,4,4,1,4,4,4,4,3,3,4,4,4,3,3,1,3,4,3,4,3,4,4,3,3,3,4,4,3,4,3,4,2,4
IT Support / Technician,3,2,4,4,4,3,4,4,3,3,1,1,4,4,3,3,1,3,4,3,4,4,4,3,4,3,3,3,2,4,3,3,4,4,3,3,3,4,3,3,4,4,3,3,3,2,3
Control Systems Engineer,4,3,2,3,3,4,3,3,3,4,3,3,4,3,3,4,3,4,3,1,4,3,4,3,3,3,3,3,4,3,4,2,3,3,4,2,3,4,2,4,3,3,4,4,3,4,4
IT Support / Technician,4,2,4,3,4,3,3,4,3,4,1,1,3,3,4,4,1,3,4,4,3,3,3,4,4,3,4,4,2,3,4,3,4,3,4,4,4,3,4,4,3,3,4,4,3,2,3
Electronics Technician,1,4,4,4,3,3,4,4,3,2,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,3,1,4,4,1,3,3,3,3,3,4,4,3,3,1,4,4,4,4
Hardware Engineer,3,3,3,4,4,3,4,2,3,3,3,3,1,1,4,4,4,1,3,3,4,3,3,2,3,4,3,3,4,4,2,4,3,4,4,3,2,3,4,3,3,4,3,4,4,3,3
Network Administrator,3,3,4,4,3,4,3,3,1,3,4,4,3,3,1,4,3,4,3,3,4,3,3,4,1,2,2,3,4,4,3,3,4,2,3,3,3,4,4,3,3,4,4,1,1,4,4
Field Technician,4,3,3,4,4,3,1,3,4,4,4,3,3,3,4,4,4,4,1,4,2,3,1,3,4,3,3,2,3,4,4,4,3,4,3,4,3,4,4,3,3,3,3,3,3,4,4
Network Administrator,3,3,3,3,4,3,4,3,1,4,4,3,3,3,1,3,4,4,4,3,3,3,4,4,2,2,2,4,3,3,3,4,4,1,4,3,3,3,4,3,3,3,4,2,2,3,3
Systems Administrator,4,4,3,1,3,4,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,2,3,4,1,4,3,3,4,3,4,4,3,4,4,4,3,1,4,3,1,2,3,4,3,3,2
IT Support / Technician,4,1,4,4,4,3,3,3,3,4,1,1,3,3,3,4,1,3,3,3,3,4,3,4,4,4,4,3,1,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,1,4
Field Technician,4,3,3,3,4,3,1,3,3,4,4,3,4,4,4,3,3,3,2,3,2,4,2,4,4,3,3,1,3,3,3,3,4,3,4,4,4,3,3,3,3,3,4,3,4,3,4
Control Systems Engineer,3,3,1,3,3,4,4,3,3,4,4,4,4,4,4,3,4,3,4,1,3,4,4,4,3,4,4,4,4,3,4,2,4,3,4,1,3,4,2,3,4,4,3,4,3,3,3
Control Systems Engineer,3,4,1,3,4,3,4,3,4,3,4,4,4,3,3,3,4,3,4,1,3,4,3,4,4,3,3,4,3,3,4,2,3,4,3,2,3,3,1,4,3,3,3,3,3,4,4
Control Systems Engineer,3,4,2,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,4,4,4,3,4,3,4,3,3,3,4,2,4,3,3,2,4,3,2,3,4,3,4,4,4,4,4
Field Technician,3,3,3,3,4,4,1,3,4,3,4,3,4,3,4,3,4,3,1,3,2,3,2,4,4,3,3,2,4,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,3,4,4
IT Support / Technician,3,2,4,3,4,4,4,4,4,3,1,2,3,3,3,4,2,3,3,4,4,4,3,4,4,4,4,3,1,4,3,3,4,3,3,4,3,4,3,3,4,4,3,3,3,1,4
IT Support / Technician,3,1,4,3,4,4,3,3,4,3,2,1,3,3,4,3,2,3,3,3,3,3,4,4,4,3,4,3,1,3,4,3,4,3,4,4,3,3,3,3,3,4,3,3,3,1,4
Electronics Technician,2,3,4,3,3,3,4,4,3,2,3,4,4,3,3,4,3,3,4,4,3,3,3,4,3,3,3,4,3,1,4,3,2,3,3,3,4,4,4,4,4,4,1,4,4,4,3
IT Support / Technician,3,1,3,3,3,3,3,4,4,3,2,1,3,3,4,4,1,4,3,4,3,4,3,4,3,4,3,3,1,3,4,4,4,4,3,3,3,4,4,3,4,3,4,3,3,1,3
Control Systems Engineer,3,4,1,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,3,1,4,3,4,4,3,3,4,4,4,4,3,1,4,3,4,2,4,4,1,3,4,3,3,3,4,3,4
IT Support / Technician,3,1,4,3,3,3,3,4,3,3,1,2,4,4,4,4,1,4,3,3,3,4,4,4,3,3,3,3,2,4,3,4,4,4,4,4,3,3,4,3,3,3,4,4,4,1,3
Electronics Technician,1,3,3,3,3,3,3,3,4,1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,2,4,4,2,4,3,4,3,4,4,4,3,4,2,3,3,4,3
Electronics Technician,2,3,4,3,3,4,4,4,3,2,4,3,3,4,3,4,3,4,3,3,4,4,3,3,4,4,3,3,3,2,4,3,2,4,3,3,4,4,4,4,4,4,2,4,3,4,4
Systems Administrator,4,3,4,2,3,4,3,4,3,3,4,4,4,4,3,4,4,4,3,3,3,1,3,4,2,3,4,3,4,3,3,3,3,3,4,3,3,1,3,4,1,2,4,4,4,3,2
Control Systems Engineer,4,4,2,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,1,4,3,3,3,3,4,4,4,4,4,3,2,4,4,3,2,3,3,1,4,4,4,3,4,4,4,4
Embedded Systems Engineer,3,1,3,4,1,1,4,3,3,4,3,3,3,3,3,2,4,4,3,4,4,3,3,1,4,3,4,4,4,3,3,4,3,4,2,3,3,3,4,2,4,3,4,4,3,3,4
Embedded Systems Engineer,4,1,3,3,2,1,3,3,4,4,4,4,3,4,4,1,3,3,3,3,3,3,3,1,3,4,4,3,3,3,3,3,3,3,1,4,4,4,4,1,3,4,4,4,3,4,4
IT Support / Technician,4,2,4,3,3,3,4,4,3,3,1,1,3,4,4,3,1,3,3,4,3,3,3,4,4,3,3,3,2,3,3,3,4,3,4,3,4,4,4,4,3,4,4,4,4,2,3
IT Support / Technician,4,1,4,4,3,4,3,4,3,4,1,1,3,4,3,4,2,4,4,4,3,3,4,3,3,4,3,3,1,3,3,3,3,3,4,3,3,4,4,3,3,4,3,4,4,1,3
IT Support / Technician,4,1,4,4,3,4,3,4,3,3,1,1,4,4,4,3,1,4,3,3,3,4,4,3,3,3,4,3,2,4,4,4,3,3,3,3,3,4,4,4,4,3,4,4,4,1,4
Field Technician,3,3,3,4,4,4,1,4,3,4,4,4,3,4,4,3,3,4,2,3,2,3,2,4,4,4,3,1,4,3,3,4,3,4,4,3,3,3,3,4,3,3,4,3,3,4,4
Embedded Systems Engineer,3,1,4,4,2,1,4,3,4,3,4,3,4,3,3,2,4,3,4,4,3,4,3,1,3,3,3,3,3,4,3,3,3,3,1,3,3,3,3,2,4,3,4,3,4,4,4
Control Systems Engineer,4,3,1,3,4,4,3,4,4,4,3,3,3,4,3,4,4,4,3,2,4,4,4,4,4,4,3,4,3,3,4,1,3,3,4,1,3,3,1,3,3,4,3,3,4,3,4
Embedded Systems Engineer,3,2,4,3,1,2,4,3,4,4,3,3,3,3,3,1,3,4,4,4,3,3,3,1,3,4,3,3,4,3,4,3,3,3,2,3,4,3,4,1,3,3,4,3,4,3,3
Hardware Engineer,4,4,4,3,4,4,3,1,3,3,4,3,1,2,4,3,4,1,4,3,4,4,3,1,4,4,3,3,3,3,1,3,3,3,3,3,1,4,3,4,3,4,4,3,4,4,4
Control Systems Engineer,3,3,2,4,3,3,3,4,3,3,3,4,4,4,3,4,3,4,4,1,4,4,4,3,3,3,4,4,4,4,4,1,4,3,3,2,4,3,2,3,4,4,3,4,4,3,4
Systems Administrator,3,3,4,2,4,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,2,4,3,1,4,3,4,4,3,4,4,4,3,4,3,4,2,3,4,2,2,3,3,4,3,2
IT Support / Technician,3,1,3,4,3,4,3,4,4,4,1,1,3,4,4,4,1,3,3,3,3,4,4,4,3,4,4,3,2,4,3,3,3,4,4,3,3,3,3,3,4,4,4,3,4,1,3
Electronics Technician,2,4,3,4,3,4,4,4,4,1,4,3,3,4,3,4,3,3,3,3,4,4,3,3,3,4,4,4,4,1,3,4,2,4,4,4,4,4,3,4,3,4,1,3,3,4,4
Control Systems Engineer,4,3,2,4,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,2,4,4,4,4,3,4,4,3,3,3,3,2,3,4,3,1,4,4,2,3,3,3,3,3,3,4,3
IT Support / Technician,3,1,4,3,3,4,4,3,4,4,1,2,4,4,4,3,1,4,3,4,3,4,3,4,3,4,4,4,1,4,3,3,4,3,3,4,4,3,4,4,4,4,4,4,3,2,3
Electronics Technician,1,4,4,4,3,4,3,4,4,2,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,2,3,4,1,3,4,3,4,4,3,3,4,4,1,4,3,4,3
Network Administrator,4,4,4,4,3,4,3,4,1,3,3,4,4,4,1,4,4,4,4,3,4,4,4,3,2,1,2,3,3,4,3,4,4,2,4,4,3,3,3,3,3,4,4,1,1,3,4
IT Support / Technician,3,1,4,4,4,3,4,4,4,4,2,2,4,3,4,4,2,4,3,3,3,3,3,3,4,4,3,3,2,3,4,3,4,3,4,4,4,4,3,4,3,4,4,3,4,1,3
IT Support / Technician,3,1,3,4,4,3,3,3,4,3,2,2,3,3,3,3,2,4,3,4,4,3,4,4,3,3,4,3,2,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,4,2,3
Electronics Technician,2,3,3,4,3,3,4,3,3,1,4,4,3,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3,3,2,4,3,1,4,3,3,3,4,4,4,3,4,2,4,3,3,4
Control Systems Engineer,4,3,2,3,4,4,3,3,4,4,3,4,3,3,3,4,4,3,4,1,3,4,4,4,3,4,3,4,3,3,4,2,4,3,4,1,3,3,2,4,3,4,4,4,4,3,4
Network Administrator,3,3,3,3,4,3,3,4,1,4,4,3,4,3,1,4,4,4,4,3,3,4,3,3,2,1,2,4,4,4,3,3,3,2,4,4,4,4,3,3,4,4,3,2,1,4,4
Embedded Systems Engineer,3,2,3,3,2,2,3,3,4,3,3,4,3,4,4,2,3,3,3,4,4,4,4,1,4,3,3,3,3,3,4,3,4,3,1,3,4,3,4,2,3,3,4,3,3,3,3
Hardware Engineer,4,4,4,3,3,4,4,1,3,3,4,4,1,1,3,4,4,1,3,3,4,4,3,1,3,4,4,3,4,3,2,4,4,3,3,3,2,3,4,4,3,3,4,3,4,3,3
